epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.208,1.61186,2.14667,0.03773,0.63543,0.62046,0.66744,0.28952,1.94117,1.505,0.06914,0.00033254,0.00033254,0.0670786
2,264.432,1.57728,1.62912,0.0372,0.67614,0.78467,0.81364,0.34507,1.98345,1.18589,0.07364,0.000652689,0.000652689,0.0340654
3,394.016,1.51718,1.50615,0.03573,0.7243,0.76695,0.82556,0.40171,1.79344,1.12392,0.06417,0.000959638,0.000959638,0.001039
4,510.485,1.4942,1.45742,0.03509,0.81824,0.81275,0.8471,0.39861,1.81031,0.97355,0.06184,0.0009406,0.0009406,0.0009406
5,629.363,1.46992,1.37093,0.03412,0.84228,0.78448,0.86957,0.46899,1.65684,0.8254,0.05576,0.0009208,0.0009208,0.0009208
6,764.663,1.44342,1.36071,0.03371,0.82559,0.76626,0.85799,0.45248,1.71956,0.82802,0.05946,0.000901,0.000901,0.000901
7,895.398,1.43185,1.30467,0.03328,0.87063,0.84219,0.90453,0.4878,1.67114,0.76897,0.05688,0.0008812,0.0008812,0.0008812
8,1024.84,1.40956,1.27999,0.03249,0.83294,0.84391,0.88944,0.46965,1.66777,0.84962,0.05758,0.0008614,0.0008614,0.0008614
9,1142.32,1.39386,1.24874,0.03195,0.89378,0.87658,0.92773,0.49664,1.65697,0.69248,0.0559,0.0008416,0.0008416,0.0008416
10,1270.57,1.37748,1.23385,0.03158,0.86231,0.82065,0.90509,0.46906,1.67337,0.80618,0.05799,0.0008218,0.0008218,0.0008218
11,1400.25,1.37773,1.20594,0.03145,0.86902,0.82661,0.9094,0.51937,1.55791,0.72512,0.05116,0.000802,0.000802,0.000802
12,1532.06,1.35674,1.18046,0.0309,0.90392,0.86209,0.9275,0.51982,1.60645,0.65248,0.05315,0.0007822,0.0007822,0.0007822
13,1649.6,1.35274,1.15341,0.03111,0.85613,0.84837,0.91443,0.51422,1.64268,0.70152,0.05468,0.0007624,0.0007624,0.0007624
14,1765.99,1.34623,1.11243,0.03091,0.89034,0.84564,0.9179,0.51538,1.59364,0.67231,0.05218,0.0007426,0.0007426,0.0007426
15,1882.98,1.3283,1.11793,0.03009,0.86645,0.88101,0.92117,0.48598,1.69316,0.67458,0.05748,0.0007228,0.0007228,0.0007228
16,2010.05,1.32122,1.10411,0.03012,0.91393,0.86698,0.93998,0.53289,1.5687,0.65946,0.05234,0.000703,0.000703,0.000703
17,2131,1.30793,1.09418,0.02944,0.85749,0.86734,0.90159,0.5081,1.60736,0.70143,0.0539,0.0006832,0.0006832,0.0006832
18,2260.45,1.30699,1.0569,0.02965,0.88156,0.85315,0.91651,0.53252,1.58668,0.6451,0.05304,0.0006634,0.0006634,0.0006634
19,2390.68,1.29357,1.04637,0.02942,0.88805,0.86662,0.92188,0.5294,1.58867,0.64037,0.05298,0.0006436,0.0006436,0.0006436
20,2518.55,1.28443,1.04556,0.02897,0.91955,0.87317,0.93534,0.54133,1.56104,0.60019,0.05145,0.0006238,0.0006238,0.0006238
21,2636.34,1.28691,1.04317,0.02899,0.89073,0.87093,0.91197,0.52564,1.61185,0.67081,0.05338,0.000604,0.000604,0.000604
22,2753.97,1.27356,1.01576,0.02864,0.90584,0.89936,0.93257,0.52159,1.63092,0.60426,0.05451,0.0005842,0.0005842,0.0005842
23,2871.29,1.25883,0.9991,0.02832,0.87651,0.88171,0.92119,0.53263,1.58207,0.64602,0.05204,0.0005644,0.0005644,0.0005644
24,2990.64,1.2497,0.97279,0.02818,0.89106,0.89279,0.92595,0.5353,1.60548,0.60651,0.05292,0.0005446,0.0005446,0.0005446
25,3112.74,1.24755,0.97708,0.02804,0.89719,0.87599,0.92884,0.53845,1.60268,0.63371,0.05288,0.0005248,0.0005248,0.0005248
26,3239.83,1.23156,0.96333,0.02762,0.93008,0.89212,0.94307,0.54695,1.58364,0.58417,0.0524,0.000505,0.000505,0.000505
27,3369.38,1.22133,0.93047,0.02726,0.89887,0.90134,0.93771,0.55466,1.56155,0.59296,0.05133,0.0004852,0.0004852,0.0004852
28,3493.35,1.22369,0.92649,0.02744,0.91184,0.89679,0.93399,0.54119,1.5929,0.64172,0.05255,0.0004654,0.0004654,0.0004654
29,3620.23,1.21361,0.91508,0.02701,0.9089,0.88862,0.92466,0.5431,1.61216,0.62208,0.0527,0.0004456,0.0004456,0.0004456
30,3746.8,1.2042,0.88716,0.02686,0.85723,0.87107,0.91881,0.53892,1.60621,0.62571,0.05265,0.0004258,0.0004258,0.0004258
31,3865.46,1.20179,0.89723,0.02697,0.88089,0.88841,0.93477,0.53683,1.57516,0.63886,0.05168,0.000406,0.000406,0.000406
32,3992.49,1.16827,0.90189,0.02608,0.92296,0.8516,0.92777,0.538,1.62141,0.64339,0.05289,0.0003862,0.0003862,0.0003862
33,4120.49,1.18588,0.8866,0.02622,0.88232,0.884,0.92461,0.54227,1.57479,0.63503,0.05118,0.0003664,0.0003664,0.0003664
34,4248.46,1.15786,0.85337,0.02572,0.91435,0.87354,0.92802,0.54632,1.6199,0.59435,0.05307,0.0003466,0.0003466,0.0003466
35,4375.2,1.15064,0.85127,0.02535,0.88992,0.88349,0.92107,0.54829,1.57148,0.58232,0.0511,0.0003268,0.0003268,0.0003268
36,4501.24,1.13273,0.82912,0.02525,0.88265,0.89218,0.92076,0.55232,1.58303,0.62141,0.05176,0.000307,0.000307,0.000307
37,4628.51,1.12531,0.81854,0.02481,0.8827,0.88371,0.92754,0.54622,1.62413,0.62158,0.05265,0.0002872,0.0002872,0.0002872
38,4744.66,1.11724,0.81907,0.02466,0.9131,0.85628,0.92243,0.54796,1.58609,0.63091,0.05146,0.0002674,0.0002674,0.0002674
39,4860.38,1.1168,0.8012,0.02447,0.90413,0.88858,0.93215,0.5542,1.58933,0.61806,0.05162,0.0002476,0.0002476,0.0002476
40,4977.65,1.10388,0.80124,0.02428,0.90773,0.87696,0.92932,0.55225,1.59123,0.60782,0.05162,0.0002278,0.0002278,0.0002278
41,5090.17,0.97394,0.34227,0.02927,0.89871,0.9039,0.93172,0.54201,1.607,0.5802,0.05221,0.000208,0.000208,0.000208
42,5189.82,0.94149,0.31241,0.02824,0.91071,0.8897,0.93733,0.55176,1.60442,0.58091,0.05212,0.0001882,0.0001882,0.0001882
